id,districtCode,provinceCode,nameTh,nameEn
4512,4512,33,เมืองสรวง,Mueang Suang
4513,4513,33,โพนทราย,Phon Sai
4514,4514,33,อาจสามารถ,At Samat
4515,4515,33,เมยวดี,Moei Wadi
4516,4516,33,ศรีสมเด็จ,Si Somdet
4517,4517,33,จังหาร,Changhan
4518,4518,33,เชียงขวัญ,Chiang Khwan
4519,4519,33,หนองฮี,Nong Hi
4520,4520,33,ทุ่งเขาหลวง,Thung Khao Luang
4601,4601,34,เมืองกาฬสินธุ์,Mueang Kalasin
4602,4602,34,นามน,Na Mon
4603,4603,34,กมลาไสย,Kamalasai
4604,4604,34,ร่องคำ,Rong Kham
4605,4605,34,กุฉินารายณ์,Kuchinarai
4606,4606,34,เขาวง,Khao Wong
4607,4607,34,ยางตลาด,Yang Talat
4608,4608,34,ห้วยเม็ก,Huai Mek
4609,4609,34,สหัสขันธ์,Sahatsakhan
4610,4610,34,คำม่วง,Kham Muang
4611,4611,34,ท่าคันโท,Tha Khantho
4612,4612,34,หนองกุงศรี,Nong Kung Si
4613,4613,34,สมเด็จ,Somdet
4614,4614,34,ห้วยผึ้ง,Huai Phueng
4615,4615,34,สามชัย,Sam Chai
4616,4616,34,นาคู,Na Khu
4617,4617,34,ดอนจาน,Don Chan
4618,4618,34,ฆ้องชัย,Khong Chai
4701,4701,35,เมืองสกลนคร,Mueang Sakon Nakhon
4702,4702,35,กุสุมาลย์,Kusuman
4703,4703,35,กุดบาก,Kut Bak
4704,4704,35,พรรณานิคม,Phanna Nikhom
4705,4705,35,พังโคน,Phang Khon
4706,4706,35,วาริชภูมิ,Waritchaphum
4707,4707,35,นิคมน้ำอูน,Nikhom Nam Un
4708,4708,35,วานรนิวาส,Wanon Niwat
4709,4709,35,คำตากล้า,Kham Ta Kla
4710,4710,35,บ้านม่วง,Ban Muang
4711,4711,35,อากาศอำนวย,Akat Amnuai
4712,4712,35,สว่างแดนดิน,Sawang Daen Din
4713,4713,35,ส่องดาว,Song Dao
4714,4714,35,เต่างอย,Tao Ngoi
4715,4715,35,โคกศรีสุพรรณ,Khok Si Suphan
4716,4716,35,เจริญศิลป์,Charoen Sin
4717,4717,35,โพนนาแก้ว,Phon Na Kaeo
4718,4718,35,ภูพาน,Phu Phan
4801,4801,36,เมืองนครพนม,Mueang Nakhon Phanom
4802,4802,36,ปลาปาก,Pla Pak
4803,4803,36,ท่าอุเทน,Tha Uthen
4804,4804,36,บ้านแพง,Ban Phaeng
4805,4805,36,ธาตุพนม,That Phanom
4806,4806,36,เรณูนคร,Renu Nakhon
4807,4807,36,นาแก,Na Kae
4808,4808,36,ศรีสงคราม,Si Songkhram
4809,4809,36,นาหว้า,Na Wa
4810,4810,36,โพนสวรรค์,Phon Sawan
4811,4811,36,นาทม,Na Thom
4812,4812,36,วังยาง,Wang Yang
4901,4901,37,เมืองมุกดาหาร,Mueang Mukdahan
4902,4902,37,นิคมคำสร้อย,Nikhom Kham Soi
4903,4903,37,ดอนตาล,Don Tan
4904,4904,37,ดงหลวง,Dong Luang
4905,4905,37,คำชะอี,Khamcha-i
4906,4906,37,หว้านใหญ่,Wan Yai
4907,4907,37,หนองสูง,Nong Sung
5001,5001,38,เมืองเชียงใหม่,Mueang Chiang Mai
5002,5002,38,จอมทอง,Chom Thong
5003,5003,38,แม่แจ่ม,Mae Chaem
5004,5004,38,เชียงดาว,Chiang Dao
5005,5005,38,ดอยสะเก็ด,Doi Saket
5006,5006,38,แม่แตง,Mae Taeng
5007,5007,38,แม่ริม,Mae Rim
5008,5008,38,สะเมิง,Samoeng
5009,5009,38,ฝาง,Fang
5010,5010,38,แม่อาย,Mae Ai
5011,5011,38,พร้าว,Phrao
5012,5012,38,สันป่าตอง,San Pa Tong
5013,5013,38,สันกำแพง,San Kamphaeng
5014,5014,38,สันทราย,San Sai
5015,5015,38,หางดง,Hang Dong
5016,5016,38,ฮอด,Hot
5017,5017,38,ดอยเต่า,Doi Tao
5018,5018,38,อมก๋อย,Omkoi
5019,5019,38,สารภี,Saraphi
5020,5020,38,เวียงแหง,Wiang Haeng
5021,5021,38,ไชยปราการ,Chai Prakan
5022,5022,38,แม่วาง,Mae Wang
5023,5023,38,แม่ออน,Mae On
5024,5024,38,ดอยหล่อ,Doi Lo
5025,5025,38,กัลยาณิวัฒนา,Galyani Vadhana
